2025-01-08 10:37:17,135: Objs: [29, 7, 14, 44, 9, 16, 25, 2, 28, 43, 12, 12, 2, 38, 34, 1]
2025-01-08 10:37:17,135: Actions: [4, 3, 3, 3, 0, 3, 2, 4, 2, 1, 1, 3, 3, 1, 3, 2]
2025-01-08 10:37:17,136: IDs: [np.int64(10), np.int64(24), np.int64(20), np.int64(57), np.int64(24), np.int64(45), np.int64(17), np.int64(78), np.int64(47), np.int64(29), np.int64(76), np.int64(58), np.int64(15), np.int64(81), np.int64(65), np.int64(63)]
2025-01-08 10:37:17,136: Objs: [41, 17, 39, 36, 9, 40, 30, 8, 11, 20, 12, 36, 39, 8, 7, 37]
2025-01-08 10:37:17,136: Actions: [3, 2, 3, 3, 2, 3, 3, 4, 3, 0, 3, 1, 4, 3, 1, 2]
2025-01-08 10:37:17,136: IDs: [np.int64(20), np.int64(25), np.int64(30), np.int64(69), np.int64(25), np.int64(55), np.int64(29), np.int64(77), np.int64(55), np.int64(29), np.int64(88), np.int64(48), np.int64(14), np.int64(91), np.int64(53), np.int64(64)]
2025-01-08 10:37:17,136: Objs: [29, 34, 10, 20, 23, 12, 30, 27, 8, 20, 12, 12, 40, 38, 34, 27]
2025-01-08 10:37:17,136: Actions: [0, 1, 3, 0, 2, 4, 1, 3, 4, 1, 3, 4, 3, 2, 1, 1]
2025-01-08 10:37:17,137: IDs: [np.int64(20), np.int64(17), np.int64(40), np.int64(69), np.int64(26), np.int64(54), np.int64(17), np.int64(87), np.int64(54), np.int64(19), np.int64(100), np.int64(47), np.int64(22), np.int64(92), np.int64(41), np.int64(54)]
2025-01-08 10:37:17,137: Objs: [29, 7, 6, 20, 14, 26, 30, 21, 22, 6, 41, 18, 17, 43, 40, 36]
2025-01-08 10:37:17,137: Actions: [1, 1, 1, 2, 4, 2, 3, 4, 1, 3, 1, 4, 3, 2, 3, 4]
2025-01-08 10:37:17,138: IDs: [np.int64(10), np.int64(9), np.int64(30), np.int64(70), np.int64(25), np.int64(55), np.int64(29), np.int64(86), np.int64(46), np.int64(29), np.int64(88), np.int64(46), np.int64(30), np.int64(93), np.int64(53), np.int64(53)]
2025-01-08 10:37:17,138: Objs: [41, 36, 10, 3, 23, 12, 30, 22, 28, 20, 12, 25, 6, 38, 34, 38]
2025-01-08 10:37:17,138: Actions: [3, 1, 2, 3, 3, 2, 1, 3, 3, 1, 1, 4, 2, 2, 4, 4]
2025-01-08 10:37:17,139: IDs: [np.int64(20), np.int64(1), np.int64(31), np.int64(82), np.int64(33), np.int64(56), np.int64(17), np.int64(96), np.int64(54), np.int64(19), np.int64(76), np.int64(45), np.int64(31), np.int64(94), np.int64(52), np.int64(52)]
2025-01-08 10:37:17,139: Objs: [29, 37, 25, 33, 41, 10, 30, 17, 22, 6, 12, 17, 44, 10, 3, 33]
2025-01-08 10:37:17,139: Actions: [2, 3, 2, 1, 4, 3, 2, 2, 1, 3, 4, 3, 4, 1, 2, 2]
2025-01-08 10:37:17,140: IDs: [np.int64(21), np.int64(9), np.int64(32), np.int64(70), np.int64(32), np.int64(66), np.int64(18), np.int64(97), np.int64(46), np.int64(29), np.int64(75), np.int64(55), np.int64(30), np.int64(84), np.int64(53), np.int64(53)]
2025-01-08 10:37:17,140: Objs: [43, 36, 26, 3, 11, 41, 35, 41, 28, 20, 34, 14, 6, 36, 34, 38]
